wavelength,nk,flux
361.40000000, 0.88699917, 2.25425019
361.45000000, 0.88293636, 2.25114961
361.50000000, 0.89801870, 2.24804903
361.55000000, 0.92641283, 2.24494844
361.60000000, 0.95264235, 2.24184786
361.65000000, 0.96505405, 2.23874727
361.70000000, 0.96091603, 2.23564669
361.75000000, 0.94299914, 2.23254610
361.80000000, 0.91529114, 2.22944552
361.85000000, 0.87406783, 2.22634494
361.90000000, 0.81417734, 2.22462053
361.95000000, 0.76045404, 2.22695938
362.00000000, 0.74618933, 2.22929823
362.05000000, 0.77072043, 2.23163708
362.10000000, 0.81887282, 2.23397593
362.15000000, 0.86851108, 2.23631478
362.20000000, 0.89717805, 2.23865364
362.25000000, 0.91846532, 2.24099249
362.30000000, 0.95745680, 2.24333134
362.35000000, 1.00073001, 2.24567019
362.40000000, 1.01552753, 2.24800904
362.45000000, 1.00575590, 2.25034789
362.50000000, 0.99940649, 2.25268674
362.55000000, 1.01317688, 2.25502559
362.60000000, 1.05070656, 2.25736444
362.65000000, 1.09684388, 2.25970330
362.70000000, 1.13362046, 2.26204215
362.75000000, 1.15473501, 2.26438100
362.80000000, 1.15800543, 2.26671985
362.85000000, 1.14810414, 2.26905870
362.90000000, 1.13522476, 2.27139755
362.95000000, 1.12523002, 2.27373640
363.00000000, 1.11111819, 2.27109740
363.05000000, 1.07443582, 2.26654745
363.10000000, 1.01467118, 2.26199749
363.15000000, 0.94863740, 2.25744754
363.20000000, 0.88395013, 2.25289758
363.25000000, 0.84520978, 2.24834763
363.30000000, 0.85380372, 2.24379767
363.35000000, 0.88730484, 2.23924771
363.40000000, 0.92226939, 2.23469776
363.45000000, 0.94344050, 2.23014780
363.50000000, 0.94207962, 2.22559785
363.55000000, 0.93398941, 2.22104789
363.60000000, 0.94099878, 2.21649794
363.65000000, 0.97012616, 2.21194798
363.70000000, 0.99966892, 2.20739803
363.75000000, 1.00923022, 2.20284807
363.80000000, 1.01334004, 2.19829812
363.85000000, 1.02635628, 2.19374816
363.90000000, 1.04640435, 2.18919821
363.95000000, 1.07177843, 2.18464825
364.00000000, 1.09613322, 2.18009829
364.05000000, 1.10990625, 2.17663804
364.10000000, 1.11383138, 2.17755298
364.15000000, 1.11290487, 2.17846792
364.20000000, 1.10530286, 2.17938285
364.25000000, 1.09197289, 2.18029779
364.30000000, 1.07576850, 2.18121273
364.35000000, 1.05486594, 2.18212767
364.40000000, 1.03293362, 2.18304261
364.45000000, 1.01764385, 2.18395755
364.50000000, 1.00429874, 2.18487249
364.55000000, 0.98157094, 2.18578742
364.60000000, 0.95822050, 2.18670236
364.65000000, 0.95435467, 2.18761730
364.70000000, 0.96691457, 2.18853224
364.75000000, 0.96869399, 2.18944718
364.80000000, 0.94015001, 2.19036212
364.85000000, 0.90027609, 2.19127705
364.90000000, 0.88635435, 2.19219199
364.95000000, 0.91030131, 2.19310693
365.00000000, 0.94528554, 2.19402187
365.05000000, 0.96405072, 2.19493681
365.10000000, 0.98041588, 2.19585175
365.15000000, 1.01026478, 2.19215801
365.20000000, 1.03994759, 2.18632722
365.25000000, 1.06167914, 2.18049643
365.30000000, 1.09083058, 2.17466564
365.35000000, 1.13421167, 2.16883485
365.40000000, 1.16888714, 2.16300406
365.45000000, 1.17684990, 2.15717327
365.50000000, 1.17523723, 2.15134248
365.55000000, 1.18113431, 2.14551170
365.60000000, 1.18628847, 2.13968091
365.65000000, 1.18743736, 2.13385012
365.70000000, 1.19853316, 2.12801933
365.75000000, 1.22171911, 2.12218854
365.80000000, 1.23990533, 2.11635775
365.85000000, 1.24310961, 2.11052696
365.90000000, 1.24693346, 2.10469617
365.95000000, 1.26496142, 2.09886539
366.00000000, 1.28305072, 2.09303460
366.05000000, 1.28318508, 2.08720381
366.10000000, 1.26893499, 2.08137302
366.15000000, 1.26147026, 2.07554223
366.20000000, 1.26607220, 2.06976102
366.25000000, 1.26729398, 2.06421513
366.30000000, 1.25538406, 2.05866925
366.35000000, 1.23600987, 2.05312336
366.40000000, 1.21925638, 2.04757748
366.45000000, 1.20397985, 2.04203160
366.50000000, 1.19047988, 2.03648571
366.55000000, 1.19186204, 2.03093983
366.60000000, 1.20984219, 2.02539394
366.65000000, 1.22612685, 2.01984806
366.70000000, 1.22019636, 2.01430218
366.75000000, 1.19759611, 2.00875629
366.80000000, 1.18804301, 2.00321041
366.85000000, 1.19626705, 1.99766452
366.90000000, 1.20062515, 1.99211864
366.95000000, 1.18368031, 1.98657275
367.00000000, 1.15303650, 1.98102687
367.05000000, 1.13284406, 1.97548099
367.10000000, 1.13110797, 1.96993510
367.15000000, 1.14769552, 1.96438922
367.20000000, 1.17942445, 1.95884333
367.25000000, 1.21275590, 1.95329745
367.30000000, 1.23522892, 1.94991282
367.35000000, 1.24008319, 1.94758310
367.40000000, 1.22667657, 1.94525338
367.45000000, 1.20649699, 1.94292365
367.50000000, 1.19169198, 1.94059393
367.55000000, 1.18847929, 1.93826420
367.60000000, 1.19770895, 1.93593448
367.65000000, 1.20382451, 1.93360475
367.70000000, 1.19330476, 1.93127503
367.75000000, 1.16834223, 1.92894530
367.80000000, 1.12780349, 1.92661558
367.85000000, 1.08481731, 1.92428585
367.90000000, 1.06722609, 1.92195613
367.95000000, 1.07285572, 1.91962640
368.00000000, 1.07387596, 1.91729668
368.05000000, 1.05088479, 1.91496695
368.10000000, 1.02177002, 1.91263723
368.15000000, 1.01872663, 1.91030750
368.20000000, 1.04255589, 1.90797778
368.25000000, 1.07017965, 1.90564805
368.30000000, 1.08277844, 1.90331833
368.35000000, 1.08565418, 1.90115452
368.40000000, 1.09578410, 1.89976322
368.45000000, 1.11459993, 1.89837192
368.50000000, 1.12475501, 1.89698062
368.55000000, 1.11463578, 1.89558932
368.60000000, 1.09194731, 1.89419803
368.65000000, 1.06972266, 1.89280673
368.70000000, 1.05845665, 1.89141543
368.75000000, 1.05164807, 1.89002413
368.80000000, 1.03522203, 1.88863283
368.85000000, 1.02007659, 1.88724153
368.90000000, 1.03033574, 1.88585024
368.95000000, 1.06452870, 1.88445894
369.00000000, 1.09782086, 1.88306764
369.05000000, 1.12562343, 1.88167634
369.10000000, 1.16035641, 1.88028504
369.15000000, 1.20285900, 1.87889374
369.20000000, 1.24212614, 1.87750244
369.25000000, 1.26946482, 1.87611115
369.30000000, 1.28309581, 1.87471985
369.35000000, 1.27501255, 1.87332855
369.40000000, 1.24395658, 1.87193725
369.45000000, 1.20997495, 1.87027543
369.50000000, 1.19190452, 1.86849128
369.55000000, 1.19709261, 1.86670712
369.60000000, 1.21738650, 1.86492296
369.65000000, 1.22985228, 1.86313881
369.70000000, 1.22948429, 1.86135465
369.75000000, 1.22890645, 1.85957050
369.80000000, 1.23329499, 1.85778634
369.85000000, 1.24230103, 1.85600219
369.90000000, 1.25450722, 1.85421803
369.95000000, 1.26761944, 1.85243388
370.00000000, 1.28336786, 1.85064972
370.05000000, 1.30145026, 1.84886557
370.10000000, 1.31001529, 1.84708141
370.15000000, 1.29949647, 1.84529725
370.20000000, 1.27456470, 1.84351310
370.25000000, 1.24851285, 1.84172894
370.30000000, 1.23040071, 1.83994479
370.35000000, 1.21609496, 1.83816063
370.40000000, 1.19456050, 1.83637648
370.45000000, 1.14994470, 1.83459232
370.50000000, 1.09227091, 1.83301106
370.55000000, 1.05471179, 1.83220520
370.60000000, 1.03212794, 1.83139934
370.65000000, 1.00164200, 1.83059348
370.70000000, 0.97973517, 1.82978761
370.75000000, 0.98936383, 1.82898175
370.80000000, 1.00977557, 1.82817589
370.85000000, 1.01486523, 1.82737002
370.90000000, 1.01457261, 1.82656416
370.95000000, 1.02148388, 1.82575830
371.00000000, 1.02597683, 1.82495243
371.05000000, 1.03221477, 1.82414657
371.10000000, 1.06761364, 1.82334071
371.15000000, 1.12555782, 1.82253485
371.20000000, 1.16794798, 1.82172898
371.25000000, 1.19129792, 1.82092312
371.30000000, 1.21536037, 1.82011726
371.35000000, 1.24505757, 1.81931139
371.40000000, 1.27640831, 1.81850553
371.45000000, 1.30528537, 1.81769967
371.50000000, 1.33118617, 1.81689381
371.55000000, 1.34412252, 1.81608794
371.60000000, 1.33180922, 1.81892596
371.65000000, 1.30484276, 1.82308857
371.70000000, 1.27985287, 1.82725118
371.75000000, 1.26554346, 1.83141379
371.80000000, 1.25943721, 1.83557640
371.85000000, 1.24406772, 1.83973901
371.90000000, 1.20756504, 1.84390162
371.95000000, 1.14570422, 1.84806423
372.00000000, 1.06206610, 1.85222685
372.05000000, 0.97771746, 1.85638946
372.10000000, 0.91605229, 1.86055207
372.15000000, 0.89244217, 1.86471468
372.20000000, 0.90033223, 1.86887729
372.25000000, 0.91209276, 1.87303990
372.30000000, 0.91678580, 1.87720251
372.35000000, 0.93555544, 1.88136512
372.40000000, 0.98976184, 1.88552773
372.45000000, 1.05914721, 1.88969034
