wavelength I/F_head I/F_neck I/F_body
634.368 0.0162699 0.0277722 0.0183455
636.251 0.0163475 0.0280842 0.0182519
638.135 0.0162872 0.0280564 0.0181933
640.018 0.0164688 0.0274569 0.0180257
641.902 0.0166804 0.0280014 0.0182040
643.785 0.0168638 0.0285041 0.0183930
645.669 0.0165441 0.0281579 0.0184835
647.552 0.0160669 0.0280558 0.0174584
649.436 0.0167655 0.0282596 0.0184844
651.319 0.0169141 0.0283792 0.0188100
653.203 0.0170975 0.0288588 0.0186961
655.086 0.0167190 0.0276847 0.0186663
656.970 0.0170252 0.0284412 0.0186006
658.853 0.0172129 0.0287298 0.0186453
660.737 0.0169040 0.0285068 0.0190252
662.620 0.0169576 0.0287160 0.0191075
664.504 0.0171166 0.0282153 0.0189555
666.388 0.0173916 0.0288653 0.0190435
668.271 0.0171295 0.0285306 0.0188957
670.155 0.0174884 0.0288491 0.0192228
672.038 0.0174034 0.0291389 0.0192409
673.922 0.0173903 0.0286586 0.0189966
675.805 0.0175335 0.0288187 0.0191510
677.689 0.0174551 0.0289971 0.0192242
679.572 0.0174342 0.0296571 0.0195974
681.456 0.0174737 0.0288833 0.0192189
683.339 0.0174203 0.0291107 0.0195021
685.223 0.0175888 0.0292556 0.0194769
687.106 0.0176783 0.0289956 0.0195624
688.990 0.0174594 0.0295519 0.0198449
690.873 0.0178944 0.0300026 0.0197484
692.757 0.0177694 0.0296869 0.0197118
694.640 0.0180337 0.0297351 0.0197709
696.524 0.0180729 0.0300895 0.0202339
698.407 0.0178290 0.0302297 0.0198367
700.291 0.0177877 0.0298833 0.0199724
702.174 0.0181390 0.0301997 0.0198010
704.058 0.0184276 0.0298489 0.0199883
705.941 0.0181828 0.0300206 0.0202029
707.825 0.0182001 0.0302247 0.0203036
709.708 0.0184156 0.0307151 0.0203895
711.592 0.0183954 0.0303995 0.0199915
713.475 0.0184269 0.0303718 0.0202367
715.359 0.0183554 0.0306077 0.0205775
717.242 0.0186348 0.0309034 0.0204945
719.126 0.0184841 0.0310513 0.0205562
721.009 0.0183630 0.0308534 0.0203922
722.893 0.0188317 0.0308159 0.0204214
724.776 0.0187139 0.0312291 0.0207776
726.660 0.0189609 0.0313540 0.0209220
728.543 0.0188329 0.0315023 0.0211113
730.427 0.0186397 0.0311320 0.0211602
732.310 0.0188279 0.0314561 0.0212371
734.194 0.0189156 0.0317309 0.0211769
736.077 0.0190823 0.0316611 0.0213908
737.961 0.0189506 0.0318199 0.0212689
739.844 0.0190367 0.0321450 0.0211733
741.728 0.0190979 0.0318260 0.0210287
743.611 0.0192012 0.0317392 0.0212602
745.495 0.0192390 0.0316469 0.0214493
747.378 0.0191076 0.0316574 0.0212258
749.262 0.0195249 0.0312386 0.0215657
751.145 0.0195319 0.0321428 0.0215233
753.029 0.0196024 0.0320127 0.0216019
754.912 0.0195667 0.0319708 0.0217639
756.796 0.0200603 0.0316797 0.0212047
758.680 0.0200567 0.0319996 0.0218741
760.563 0.0196512 0.0322341 0.0219352
762.447 0.0202974 0.0329626 0.0216650
764.330 0.0199154 0.0325283 0.0220186
766.214 0.0195756 0.0328416 0.0220110
768.097 0.0201433 0.0324303 0.0217858
769.981 0.0200998 0.0323616 0.0220316
771.864 0.0201138 0.0336690 0.0225839
773.748 0.0196698 0.0328494 0.0220526
775.631 0.0207216 0.0335412 0.0227535
777.515 0.0200747 0.0324424 0.0229691
779.398 0.0205537 0.0328571 0.0221247
781.282 0.0206145 0.0328002 0.0229974
783.165 0.0209344 0.0326468 0.0224271
785.049 0.0202393 0.0329672 0.0228087
786.932 0.0205653 0.0324676 0.0224104
788.816 0.0206819 0.0338415 0.0224180
790.699 0.0204654 0.0339054 0.0223830
792.583 0.0206276 0.0336244 0.0224366
794.466 0.0204677 0.0337914 0.0219201
796.350 0.0214619 0.0327945 0.0219805
798.233 0.0208419 0.0328590 0.0228503
800.117 0.0205035 0.0339545 0.0228690
802.000 0.0209216 0.0334783 0.0228196
803.884 0.0204183 0.0336442 0.0225634
805.767 0.0210198 0.0347779 0.0231961
807.651 0.0209496 0.0332302 0.0236093
809.534 0.0211086 0.0338281 0.0231094
811.418 0.0208390 0.0345445 0.0225778
813.301 0.0212941 0.0340439 0.0233055
815.185 0.0218373 0.0338622 0.0229243
817.068 0.0213003 0.0328043 0.0232846
818.952 0.0200593 0.0321078 0.0237350
820.835 0.0208715 0.0338339 0.0229131
822.719 0.0211803 0.0337352 0.0228055
824.602 0.0205425 0.0346653 0.0232081
826.486 0.0215619 0.0332650 0.0231658
828.369 0.0217038 0.0339297 0.0226276
830.253 0.0210187 0.0339710 0.0233498
832.136 0.0211526 0.0330668 0.0235378
834.020 0.0207703 0.0336290 0.0238987
835.903 0.0207517 0.0330786 0.0239547
837.787 0.0214190 0.0331412 0.0233236
839.670 0.0209524 0.0342631 0.0227090
841.554 0.0214395 0.0343398 0.0239714
843.437 0.0210392 0.0340468 0.0238409
845.321 0.0205827 0.0337761 0.0232427
847.204 0.0214546 0.0339955 0.0233012
849.088 0.0219504 0.0344781 0.0239964
850.971 0.0217551 0.0348377 0.0233125
852.855 0.0209503 0.0330807 0.0229823
854.739 0.0206167 0.0346460 0.0232097
856.622 0.0214024 0.0344328 0.0237553
858.505 0.0209768 0.0336965 0.0235732
860.389 0.0216389 0.0349251 0.0237470
862.273 0.0211199 0.0347182 0.0241009
864.156 0.0213944 0.0344492 0.0239157
866.040 0.0217053 0.0344455 0.0238598
867.923 0.0213671 0.0347480 0.0239892
869.807 0.0210278 0.0338909 0.0236301
871.690 0.0219514 0.0347802 0.0237352
873.574 0.0212458 0.0345186 0.0236544
875.457 0.0211843 0.0344738 0.0238182
877.341 0.0213571 0.0342598 0.0236894
879.224 0.0214863 0.0353818 0.0239082
881.108 0.0214462 0.0350364 0.0238168
882.991 0.0212173 0.0350593 0.0235244
884.875 0.0213104 0.0340502 0.0237810
886.758 0.0211497 0.0336409 0.0238840
888.642 0.0213915 0.0345817 0.0241009
890.525 0.0215215 0.0342433 0.0236871
892.409 0.0213520 0.0342260 0.0239678
894.292 0.0213958 0.0339165 0.0234866
896.176 0.0212457 0.0336684 0.0231322
898.059 0.0210939 0.0344276 0.0235941
899.943 0.0211241 0.0339203 0.0228744
901.826 0.0211103 0.0343255 0.0238178
903.710 0.0212351 0.0343110 0.0234423
905.593 0.0214551 0.0346735 0.0236118
907.477 0.0213833 0.0341906 0.0236744
909.360 0.0210816 0.0346201 0.0234349
911.244 0.0213490 0.0347288 0.0243871
913.127 0.0216581 0.0335112 0.0234746
915.011 0.0219427 0.0342966 0.0241288
916.894 0.0216810 0.0338660 0.0236836
918.778 0.0216493 0.0342900 0.0236274
920.661 0.0214817 0.0350277 0.0236368
922.545 0.0214104 0.0344229 0.0235624
924.428 0.0214268 0.0342204 0.0239977
926.312 0.0218565 0.0345225 0.0242833
928.195 0.0218172 0.0341903 0.0233967
930.079 0.0219080 0.0344486 0.0237868
931.962 0.0219757 0.0347881 0.0236011
933.846 0.0221270 0.0353216 0.0237590
935.729 0.0218788 0.0355428 0.0239470
937.613 0.0221272 0.0349182 0.0236042
939.496 0.0219635 0.0358340 0.0241636
941.380 0.0216126 0.0361405 0.0242928
943.263 0.0217718 0.0360128 0.0241718
945.147 0.0222272 0.0360858 0.0244785
947.031 0.0222273 0.0346977 0.0248267
948.914 0.0220359 0.0358219 0.0248440
950.797 0.0223484 0.0358928 0.0243601
952.681 0.0225556 0.0355891 0.0245049
954.565 0.0218872 0.0356304 0.0244291
956.448 0.0223478 0.0354494 0.0241356
958.332 0.0221497 0.0354113 0.0247715
960.215 0.0226680 0.0349730 0.0238101
962.099 0.0219268 0.0358922 0.0249499
963.982 0.0230917 0.0357037 0.0240868
965.866 0.0223140 0.0350130 0.0247197
967.749 0.0224552 0.0361990 0.0250951
969.633 0.0226287 0.0361541 0.0252041
971.516 0.0233025 0.0359935 0.0241208
973.400 0.0230441 0.0366699 0.0241335
975.283 0.0223708 0.0350513 0.0249681
977.167 0.0220487 0.0347019 0.0250537
979.050 0.0230738 0.0363755 0.0245230
980.934 0.0221958 0.0369132 0.0244571
982.817 0.0225365 0.0360330 0.0240000
984.701 0.0238967 0.0372716 0.0260700
986.584 0.0237794 0.0372038 0.0258539
988.468 0.0234315 0.0361708 0.0254406
990.351 0.0243311 0.0371329 0.0260630
992.235 0.0241021 0.0370764 0.0244575
994.118 0.0238928 0.0370228 0.0263605
996.002 0.0241262 0.0356440 0.0243721
997.885 0.0230930 0.0374314 0.0260744
999.769 0.0237344 0.0378941 0.0259793
1000.39 0.0243527 0.0376724 0.0253103
1009.83 0.0241897 0.0381749 0.0252521
1019.27 0.0241936 0.0380800 0.0253513
1028.70 0.0242179 0.0382993 0.0255335
1038.14 0.0244439 0.0387126 0.0257214
1047.58 0.0246679 0.0389221 0.0257777
1057.02 0.0249056 0.0390804 0.0259209
1066.45 0.0252248 0.0395022 0.0262627
1075.89 0.0254155 0.0395917 0.0268440
1085.33 0.0256709 0.0400767 0.0267648
1094.76 0.0261692 0.0406605 0.0269343
1104.20 0.0262304 0.0405365 0.0273307
1113.64 0.0261695 0.0410788 0.0274082
1123.07 0.0262791 0.0413556 0.0275964
1132.51 0.0264302 0.0415223 0.0277494
1141.95 0.0265260 0.0415748 0.0278687
1151.38 0.0265169 0.0415403 0.0278396
1160.82 0.0267758 0.0419176 0.0280900
1170.26 0.0269260 0.0420457 0.0281893
1179.70 0.0271468 0.0422296 0.0283573
1189.13 0.0272621 0.0423191 0.0284885
1198.57 0.0274857 0.0426023 0.0286565
1208.01 0.0275331 0.0427593 0.0287836
1217.44 0.0273876 0.0425923 0.0286836
1226.88 0.0275189 0.0426255 0.0288176
1236.32 0.0275815 0.0427566 0.0289332
1245.75 0.0276457 0.0429144 0.0289477
1255.19 0.0277441 0.0431746 0.0289775
1264.63 0.0278502 0.0432806 0.0291237
1274.06 0.0280299 0.0435097 0.0294001
1283.50 0.0285078 0.0437025 0.0295303
1292.94 0.0282554 0.0438388 0.0295565
1302.37 0.0282504 0.0436859 0.0295412
1311.81 0.0284301 0.0438152 0.0297615
1321.25 0.0285199 0.0438578 0.0298668
1330.69 0.0286081 0.0440169 0.0299761
1340.12 0.0286010 0.0440425 0.0299092
1349.56 0.0286586 0.0440691 0.0299001
1359.00 0.0288081 0.0441688 0.0299511
1368.43 0.0289174 0.0442769 0.0300330
1377.87 0.0288625 0.0443444 0.0301301
1387.31 0.0288248 0.0443470 0.0302016
1396.74 0.0290004 0.0445714 0.0302083
1406.18 0.0291540 0.0448802 0.0303532
1415.62 0.0292210 0.0451359 0.0305734
1425.05 0.0294361 0.0455882 0.0308691
1434.49 0.0294436 0.0455812 0.0310325
1443.93 0.0294561 0.0458021 0.0313339
1453.36 0.0293798 0.0456453 0.0312658
1462.80 0.0294136 0.0455189 0.0310831
1472.24 0.0296598 0.0456069 0.0310913
1481.68 0.0296803 0.0455741 0.0310304
